TimeUTC,spotMeas,spotPred,imbalMeas,windMeas,windFor,loadFor,trans
2022-03-27 21:00:00,190.520004,198.600166403889,190.52,0.479776247848537,0.494836488812392,1809,-2282
2022-03-27 22:00:00,190.490005,166.446122234336,190.49,0.462564543889845,0.478270223752151,1896,-2158.700001
2022-03-27 23:00:00,182.490005,179.987740495152,182.49,0.462994836488812,0.454819277108434,1842,-2120
2022-03-28 00:00:00,178.25,179.100015723232,178.25,0.481282271944923,0.47289156626506,1820,-2139.599998
2022-03-28 01:00:00,178.259995,181.850155131492,178.26,0.485800344234079,0.481067125645439,1817,-2218.799988
2022-03-28 02:00:00,178.309998,180.689356904581,178.31,0.512048192771084,0.506884681583477,1876,-2251
2022-03-28 03:00:00,182.139999,180.987715280599,182.14,0.541953528399312,0.507530120481928,2041,-2125.199997
2022-03-28 04:00:00,140.520004,141.885978492219,140.52,0.544320137693632,0.513123924268503,2388,-1266.200012
2022-03-28 05:00:00,185.410004,173.129388583621,185.41,0.582185886402754,0.522160068846816,2776,-1293.899994
2022-03-28 06:00:00,188.279999,176.864568313888,188.28,0.591437177280551,0.533562822719449,2950,-1248.100006
2022-03-28 07:00:00,182.479996,181.070150568205,182.48,0.569922547332186,0.557013769363167,2921,-1436.899994
2022-03-28 08:00:00,142.070007,149.628864328843,197.87,0.564974182444062,0.591652323580034,2969,-1353.5
2022-03-28 09:00:00,94.150002,88.8555140514398,189.07,0.561962134251291,0.614672977624785,2971,-1231.400024
2022-03-28 10:00:00,37.939999,39.0208830020764,65,0.538511187607573,0.631239242685026,2864,-1195
2022-03-28 11:00:00,22.65,21.5569348508674,22.65,0.551850258175559,0.680292598967298,2829,-1244.900024
2022-03-28 12:00:00,16.469999,15.7005375464314,16.47,0.602624784853701,0.719234079173838,2726,-1295.5
2022-03-28 13:00:00,14.04,13.8562705464573,14.04,0.644148020654045,0.729991394148021,2703,-1381.799988
2022-03-28 14:00:00,14.48,13.8398639876995,14.48,0.699440619621343,0.708691910499139,2692,-1289.399994
2022-03-28 15:00:00,71.900002,75.6593419506642,71.9,0.694922547332186,0.666092943201377,2735,-1257.099976
2022-03-28 16:00:00,130.440002,129.858849438596,130.44,0.649526678141136,0.622848537005164,2709,-1350.600006
2022-03-28 17:00:00,142.729996,114.916807925664,200,0.578528399311532,0.585413080895009,2628,-1383.399994
2022-03-28 18:00:00,143.070007,147.465045209012,200,0.516996557659208,0.549913941480207,2527,-1285.200012
2022-03-28 19:00:00,142.860001,126.786739415888,202,0.48644578313253,0.515275387263339,2450,-1195
2022-03-28 20:00:00,142.75,146.877380765288,202,0.451807228915663,0.487521514629948,2299,-1195
2022-03-28 21:00:00,142.5,140.48709253865,185,0.421041308089501,0.467943201376936,2164,-1195
2022-03-28 22:00:00,181.759995,172.071145633721,167,0.387478485370052,0.419320137693632,2116,-1230.399994
2022-03-28 23:00:00,181.690002,192.929584365675,167,0.373493975903614,0.380808950086059,2051,-1129.700012
2022-03-29 00:00:00,181.759995,164.604213966196,167,0.369191049913941,0.358433734939759,2057,-1157.200012
2022-03-29 01:00:00,182.050003,170.23747521756,167,0.35907917383821,0.328313253012048,2057,-1084
2022-03-29 02:00:00,182.199997,172.480258676619,179,0.336919104991394,0.30895008605852,2115,-1210.399994
2022-03-29 03:00:00,182.220001,183.076464483731,180,0.325301204819277,0.285068846815835,2289,-1021.5
2022-03-29 04:00:00,207.899994,185.98877783755,215.04,0.302065404475043,0.263123924268503,2647,-882.5
2022-03-29 05:00:00,246.679993,253.845544745984,268.8,0.282056798623064,0.260327022375215,3000,-607.5
2022-03-29 06:00:00,276.970001,255.926997382141,330,0.26355421686747,0.277323580034423,3103,-764.300003
2022-03-29 07:00:00,226.759995,213.125596014293,321.41,0.270223752151463,0.296471600688468,3022,-814.500015
2022-03-29 08:00:00,214.600006,218.270328413323,295.68,0.300774526678141,0.321858864027539,3019,-1088.900005
2022-03-29 09:00:00,210.059998,212.027344994527,269,0.312822719449225,0.346385542168675,2957,-1364.799997
